id,nimi,wiki,imdb,kavi,img,nodeJS,ensiIlta
1,Elämää kuoleman jälkeen,Q86914911,tt10385556,kavi.elonet_elokuva_1603238,elamaaKuolemanJalkeen.jpg,,6.3.2020
2,Emma.,Q65091224,tt9214832,kavi.elonet_elokuva_1613316,emma.jpg,,6.3.2020
3,Bombshell,Q58814589,tt6394270,kavi.elonet_elokuva_1612336,bombshell.jpg,,7.2.2020
4,Birds of Prey,Q57177410,tt7713068,kavi.elonet_elokuva_1612337,birdsOfPrey.jpg,,7.2.2020
5,A Hidden Life,Q27555348,tt5827916,kavi.elonet_elokuva_1612339,aHiddenLife.jpg,,7.2.2020
6,La Belle Époque,Q63213666,tt9172422,kavi.elonet_elokuva_1613385,laBelleEpoque.jpg,,13.3.2020
7,Weathering with You,Q59692464,tt9426210,kavi.elonet_elokuva_1613384,weatheringWithYou.jpg,,13.3.2020
8,Aika jonka sain,Q87904501,tt9777796,kavi.elonet_elokuva_1612002,aikaJonkaSain.jpg,,13.3.2020
9,Mr. Jones,Q30963297,tt6828390,kavi.elonet_elokuva_1613383,mrJones.jpg,,13.3.2020
10,The Cave,Q81924220,tt7178226,kavi.elonet_elokuva_1613321,theCave.jpg,,12.3.2020
11,Se mieletön remppa,Q86594412,tt10449466,kavi.elonet_elokuva_1604816,seMieletonRemppa.jpg,,19.2.2020
12,Les Misérables,Q63246549,tt10199590,kavi.elonet_elokuva_1613315,lesMiserables.jpg,,6.3.2020
13,Parasite,Q61448040,tt6751668,kavi.elonet_elokuva_1612209,parasite.jpg,,13.1.2020
14,Little Women,Q56881140,tt3281548,kavi.elonet_elokuva_1611582,pikkuNaisia.jpg,,31.1.2020
15,Taistelulähetit - 1917,Q62721520,tt8579674,kavi.elonet_elokuva_1612044,taisteluLahetit.jpg,,24.1.2020
16,Ella Bella Bingo,Q106959150,tt9537888,kavi.elonet_elokuva_1612070,ellaBellaBingo.jpg,,24.1.2020
17,Just Mercy,Q56419916,tt4916630,kavi.elonet_elokuva_1612073,justMercy.jpg,,24.1.2020
18,Jäähyväiset,Q60611804,tt8637428,kavi.elonet_elokuva_1612072,jaahyvaiset.jpg,,24.1.2020
19,Cats (2019),Q58701890,tt5697572,kavi.elonet_elokuva_1611797,cats.jpg,,3.1.2020
20,The Peanut Butter Falcon,Q39047194,tt4364194,kavi.elonet_elokuva_1612341,peanutButterFalcon.jpg,,14.2.2020
21,"Heinähattu, Vilttitossu ja ärhäkkä koululainen",Q90565192,tt10768232,kavi.elonet_elokuva_1604814,heinahattuJaVilttitossuArhakkaKoululainen.jpg,,14.2.2020
22,Color Out of Space,Q64576691,tt5073642,kavi.elonet_elokuva_1612344,colorOutOfSpace.jpg,,14.2.2020
23,The Truth,Q64666990,tt8323120,kavi.elonet_elokuva_1611801,theTruth.jpg,,3.1.2020
24,Lasse - Best Man,Q76945947,tt11092170,kavi.elonet_elokuva_1611834,lasseBestMan.jpg,,3.1.2020
25,Teräsleidit,Q65245405,tt11132342,kavi.elonet_elokuva_1608258,terasleidit.jpg,,3.1.2020
26,Orkesterin edessä,Q84308433,tt10763684,kavi.elonet_elokuva_1571713,orkesterinEdessa.jpg,,7.2.2020
27,Eteenpäin,Q59690895,tt7146812,kavi.elonet_elokuva_1613314,eteenpain.jpg,,6.3.2020
28,Vakoojat valepuvuissa,Q31271382,tt5814534,kavi.elonet_elokuva_1612257,vakoojatValepuvuissa.jpg,,31.1.2020
29,The Gentlemen,Q60614686,tt8367814,kavi.elonet_elokuva_1612792,theGentlemen.jpg,,21.2.2020
30,Koiranpäivät,Q89400860,tt6772524,kavi.elonet_elokuva_1612794,koiranpaivat.jpg,,21.2.2020
31,Richard Jewell,Q65058737,tt3513548,kavi.elonet_elokuva_1612795,richardJewell.jpg,,21.2.2020
32,Erämaan kutsu,Q57982258,tt7504726,kavi.elonet_elokuva_1613131,eramaanKutsu.jpg,,28.2.2020
33,Sonic the Hedgehog,Q29906232,tt3794354,kavi.elonet_elokuva_1613100,sonicTheHedgehog.jpg,,28.2.2020
34,The Invisible Man,Q64004122,t1051906,kavi.elonet_elokuva_1613114,theInvisibleMan.jpg,,28.2.2020
35,The Specials,Q60852191,tt8655470,kavi.elonet_elokuva_1613117,theSpecials.jpg,,28.2.2020
36,Uskomaton luolapelastus,Q69768547,tt8726180,kavi.elonet_elokuva_1613215,uskomatonLuolapelastus.jpg,,28.2.2020
37,Vihanpidot,Q98397446,t11681712,kavi.elonet_elokuva_1612106,vihanpidot.jpg,,14.2.2020
38,Ranskalaista häähumua,Q30728086,tt6556670,kavi.elonet_elokuva_1611726,ranskalaistaHaahumua2.jpg,,20.12.2019
39,Jojo Rabbit,Q54862508,tt2584384,kavi.elonet_elokuva_1611953,jojoRabbit.jpg,,10.1.2020
40,Bad Boys for Life,Q29021224,tt1502397,kavi.elonet_elokuva_1612042,badBoysForLife3.jpg,,17.1.2020
41,Helene,Q81697538,tt9742588,kavi.elonet_elokuva_1604147,helene.jpg,,17.1.2020
42,Näkemiin Neuvostoliitto,Q97012843,tt9471988,kavi.elonet_elokuva_1602527,nakemiinNeuvostoliitto.jpg,,27.3.2020
43,Peitelty totuus,Q60617937,tt9071322,kavi.elonet_elokuva_1613470,peiteltyTotuus.jpg,,1.6.2020
44,Neiti Aika,Q98725990,tt11132736,kavi.elonet_elokuva_1598246,neitiAika.jpg,,30.1.2020
45,Dolittle,Q38689704,tt6673612,kavi.elonet_elokuva_1612041,elainLaakariDolittle.jpg,,17.1.2020
46,SamSam,Q86718806,tt9784518,kavi.elonet_elokuva_1613483,samsam.jpg,,24.6.2020
47,Brahms: The Boy II,Q61664894,tt9173418,kavi.elonet_elokuva_1618745,brahmsTheBoyII.jpg,,3.7.2020
48,The Perfect Candidate,Q65954726,tt6971114,kavi.elonet_elokuva_1618744,thePerfectCandidate.jpg,,3.7.2020
49,Näkemiin Professori,Q33256044,tt6865690,kavi.elonet_elokuva_1618747,nakemiinProfessori.jpg,,10.7.2020
50,Funeral Parade of Roses ,Q5509114,tt0064068,,funeralPartyOfRoses.jpg,,26.6.2020
51,Pieni punainen,Q98726000,tt12257268,kavi.elonet_elokuva_1634361,pieniPunainen.jpg,,4.5.2020
52,The Outpost,Q63927168,tt3833480,kavi.elonet_elokuva_1618804,theOutpost.jpg,,17.7.2020
53,Tuulten taottu maa,Q56670622,tt9060058,kavi.elonet_elokuva_1618805,tuultenTaottuMaa.jpg,,17.7.2020
54,Kesämaa,Q60737844,tt6841122,kavi.elonet_elokuva_1618806,kesamaa.jpg,,24.7.2020
55,Upseeri ja vakooja,Q60833546,tt2398149,kavi.elonet_elokuva_1613492,upseeriJaVakooja.jpg,,24.7.2020
56,Valhalla,Q66022727,tt8956872,kavi.elonet_elokuva_1613480,valhalla.jpg,,20.7.2020
57,The Grudge,Q54339473,tt3612126,kavi.elonet_elokuva_1611965,theGrudge.jpg,,10.1.2020
58,Matthias & Maxime,Q54339473,tt8767908,kavi.elonet_elokuva_1612043,mattiJaMaxime.jpg,,17.1.2020
59,Nuoren naisen muotokuva,Q29572143,tt8613070,kavi.elonet_elokuva_1611722,nuorenNaisenMuotokuva.jpg,,29.9.2019
60,Ad Astra,Q38774788,tt2935510,kavi.elonet_elokuva_1608117,adAstra.jpg,,20.9.2019
61,Kaksi paavia,Q58894738,tt8404614,kavi.elonet_elokuva_1611666,kaksiPaavia.jpg,,13.12.2019
62,Poissa,Q65242654,tt4181416,kavi.elonet_elokuva_1605431,poissa.jpg,,29.11.2019
63,The Irishman,Q29057443,tt1302006,kavi.elonet_elokuva_1609489,theIrishman.jpg,,22.11.2019
64,System Crasher,Q56296349,tt8535968,kavi.elonet_elokuva_1609491,systemCrasher.jpg,,22.11.2019
65,Ford v Ferrari,Q55081822,tt1950186,kavi.elonet_elokuva_1609157,lemans66.jpg,,15.11.2019
66,Tarhapäivä,Q81089885,tt8288384,kavi.elonet_elokuva_1595332,tarhapaiva.jpg,,15.11.2019
67,Midway,Q56551019,tt6924650,kavi.elonet_elokuva_1609147,midway.jpg,,8.11.2019
68,Last Christmas,Q60370884,tt8623904,kavi.elonet_elokuva_1609135,lastChristmas.jpg,,8.11.2019
69,After the Wedding,Q55603322,tt7985692,kavi.elonet_elokuva_1611723,afterTheWedding.jpg,,27.11.2019
70,Frozen II,Q24733929,tt4520988,kavi.elonet_elokuva_1611724,frozen2.jpg,,25.12.2019
71,The High Note,Q64990050,tt9308382,kavi.elonet_elokuva_1618859,highNote.jpg,,31.7.2020
72,Isäni Marianne,Q84475354,tt9894440,kavi.elonet_elokuva_1618837,minPappaMarianne.jpg,,31.7.2020
73,Rattiraivo,Q85811980,tt10059518,kavi.elonet_elokuva_1618833,rattiraivo.jpg,,21.8.2020
74,Jouluiloa Ukrainaan,Q111802391,tt11348784,kavi.elonet_elokuva_1609592,jouluiloaUkrainaan.jpg,,13.12.2019
75,Western Stars,,tt10687158,kavi.elonet_elokuva_1611664,wsternStars.jpg,,25.10.2019
76,The Wind,Q65130074,tt8426594,kavi.elonet_elokuva_1601031,theWind.jpg,,6.12.2019
77,Marriage Story,Q48671199,tt7653254,kavi.elonet_elokuva_1609492,marriageStory.jpg,,29.11.2019
78,Veitset esiin,Q57982486,tt8946378,kavi.elonet_elokuva_1609231,veitsetEsiin.jpg,,29.11.2019
79,The Queen's Corgi,Q55635487,t6563576,kavi.elonet_elokuva_1609228,kuningattarenCorci.jpg,,22.11.2019
80,Kolme sekuntia,Q46223211,tt1833116,kavi.elonet_elokuva_1609487,kolmeSekuntia.jpg,,22.11.2019
81,Countdown,Q68081969,tt10039344,kavi.elonet_elokuva_1609227,theCountDown.jpg,,15.11.2019
82,The Golden Glove,Q56054702,tt7670212,kavi.elonet_elokuva_1609159,kultainenHansikas.jpg,,15.11.2019
83,The Lighthouse,Q55402791,tt7984734,kavi.elonet_elokuva_1609161,theLightHouse.jpg,,15.11.2019
84,Jumalan armosta,Q60169300,tt8095860,kavi.elonet_elokuva_1609225,jumalanArmosta.jpg,,15.11.2019
85,"Someone, Somewhere",Q106728425,tt10407272,kavi.elonet_elokuva_1608851,saveImage.jpg,,8.11.2019
86,Edie,Q55610511,tt3823098,kavi.elonet_elokuva_1609154,edie.jpg,,8.11.2019
87,Kiitos tilauksestasi,Q56604161,tt8359816,kavi.elonet_elokuva_1609153,kiitosTilauksestasi.jpg,,8.11.2019
88,Blinded by the Light,Q60738658,tt8266310,kavi.elonet_elokuva_1608355,blindeByTheLight.jpg,,8.11.2019
89,Perhe Addams,Q54825652,tt1620981,kavi.elonet_elokuva_1608868,perheAddams.jpg,,1.11.2019
90,Pekka Töpöhänta,Q71327748,tt11617584,kavi.elonet_elokuva_1618834,pekkaTopohanta.jpg,,31.7.2020
91,The Witch in the Window,Q109238075,tt5936492,kavi.elonet_elokuva_1618964,theWitchInTheWindow.jpg,,7.8.2020
92,Eden,Q90719649,tt10429158,kavi.elonet_elokuva_1605007,eden.jpg,,7.8.2020
93,Terapiaa Tunisialaisittain,Q67761708,tt9648886,kavi.elonet_elokuva_1618962,terapiaaTunisialaisittain.jpg,,7.8.2020
94,Peninsula,Q65061643,tt8850222,kavi.elonet_elokuva_1618965,peninsula.jpg,,7.8.2020
95,Lauluja rakkaudesta,Q98555936,tt12768788,kavi.elonet_elokuva_1602982,laulujaRakkaudesta.jpg,,7.8.2020
96,Lasse-Maijan etsivätoimisto: Junan arvoitus,Q76836753,tt10039354,kavi.elonet_elokuva_1618963,lassemajaja.jpg,,7.8.2020
97,Billie,Q99971331,tt8019486,kavi.elonet_elokuva_1621910,billie.jpg,,20.11.2020
98,Viimeiset,Q97200052,tt6352926,kavi.elonet_elokuva_1582648,viimeiset.jpg,,13.11.2020
99,Tove,Q96628864,tt11007444,kavi.elonet_elokuva_1605957,tove.jpg,,2.10.2020
100,Kirjava lintu,Q33101290,tt1667354,kavi.elonet_elokuva_1621524,kirjavaLintu.jpg,,6.11.2020
101,Wrath of Man,Q74190990,tt11083552,kavi.elonet_elokuva_1625693,wrathOfMan.jpg,,21.5.2021
102,Meren tuomat,Q110323703,tt13970824,kavi.elonet_elokuva_1621271,meren_tuomat_sa__hko__inen_juliste.jpg,,21.5.2021
103,Those Who Wish Me Dead,Q63923744,tt3215824,kavi.elonet_elokuva_1628487,thoseWhoWishMeDead.jpg,,21.5.2021
104,Kuka pelkää puudelia,Q96417228,tt8774798,kavi.elonet_elokuva_1625692,kukaPelkaaPuudelia.jpg,,21.5.2021
105,Yhdet vielä,Q69303989,tt10288566,kavi.elonet_elokuva_1624556,yhdetViela.jpg,,7.5.2021
106,Flummelit,Q85760113,tt8241000,kavi.elonet_elokuva_1625845,flummelit.jpg,,28.5.2021
107,Tom and Jerry,Q65921361,tt1361336,kavi.elonet_elokuva_1625431,tomEtJerry.jpg,,28.5.2021
108,Mother,Q483761,tt1216496,kavi.elonet_elokuva_1623485,mother.jpg,,10.9.2010
109,Godzilla vs. Kong,Q56307503,tt5034838,kavi.elonet_elokuva_1625439,ieVsMozilla.jpg,,28.5.2021
110,Punkkisota,Q107079589,tt14338298,kavi.elonet_elokuva_1605363,Punkkisota-elokuvan_juliste.jpg,,14.5.2021
111,Karalahti,Q104224942,tt13545702,kavi.elonet_elokuva_1622565,karalahti.jpg,,14.5.2021
112,Ammonite,Q60836025,tt7983894,kavi.elonet_elokuva_1625971,ammonite_poster.jpg,,4.6.2021
113,Kirottu 3: Paholaisen vallassa,Q64145552,tt7069210,kavi.elonet_elokuva_1625987,TheConjuring-TheDeviMadeMeDoIt.jpg,,4.6.2021
114,Petteri Kaniini: Kani karkuteillä,Q61951873,tt8376234,kavi.elonet_elokuva_1625432,petteriKaniiniPoster.jpg,,4.6.2021
115,Babyteeth,Q66712802,tt8399664,kavi.elonet_elokuva_1625958,babyteethPoster.jpg,,4.6.2021
116,Demon Slayer,Q96376192,tt11032374,kavi.elonet_elokuva_1625444,demonSlayerPoster.jpg,,4.6.2021
117,Fucking with Nobody,Q104434903,tt13081440,kavi.elonet_elokuva_1619680,fuckingWithNobodyPoster.jpg,,11.6.2021
118,Hiljainen paikka osa 2,Q53911403,tt8332922,kavi.elonet_elokuva_1613420,hiljainenPaikkaOsa2Poster.jpg,,11.6.2021
119,In the Heights,Q63698573,tt1321510,kavi.elonet_elokuva_1626032,inTheHeightsPoster.jpg,,11.6.2021
120,Minari,Q65679599,tt10633456,kavi.elonet_elokuva_1625430,minariPoster.jpg,,7.5.2021
121,Lupaava nuori nainen,Q62595383,tt9620292,kavi.elonet_elokuva_1625429,lupaava-nuori-nainen-juliste.jpg,,7.5.2021
122,Eatnameamet - Hiljainen taistelumme,Q107452739,tt14129638,kavi.elonet_elokuva_1621272,eatnameametPoster.jpg,,19.5.2021
123,Sound of Metal,Q65158549,tt5363618,kavi.elonet_elokuva_1625237,soundOfMetalPoster.jpg,,1.6.2021
124,Army of One,Q20001136,tt7153488,kavi.elonet_elokuva_1589724,armyOfOnePoster.jpg,,16.4.2021
125,Punainen Kohina,Q110323704,tt4535886,kavi.elonet_elokuva_1613713,punainenKohinaPoster.jpg,,9.4.2021
126,Wonder Woman 1984,Q33408623,tt7126948,kavi.elonet_elokuva_1624527,wonderWoman84Poster.jpg,,5.3.2021
127,Nomadland,Q61740820,tt9770150,kavi.elonet_elokuva_1624476,nomadLandPoster.jpg,,26.3.2021
128,Falling,Q65084732,tt9143112,kavi.elonet_elokuva_1625443,fallingPoster.jpg,,14.5.2021
129,News of the World,Q73537408,tt6878306,,newsOfTheWorldPoster.jpg,,10.2.2021
130,Tunturin tarina,Q98726001,tt11460832,kavi.elonet_elokuva_1605048,tunturinTarinaPoster.jpg,,2.4.2021
131,Raya ja viimeinen lohikäärme,Q66738105,tt5109280,kavi.elonet_elokuva_1624553,rayaJaViimeinenLohikaarmePoster.jpg,,5.3.2021
132,The Marksman,Q103854727,tt6902332,kavi.elonet_elokuva_1624554,theMarksmanPoster.jpg,,26.2.2021
133,Kuka pelkää noitia,Q63630439,tt0805647,kavi.elonet_elokuva_1623664,kukaPelkaaNoitiaPoster.jpg,,19.2.2021
134,Cruella,Q24284363,tt3228774,kavi.elonet_elokuva_1625146,cruellaPoster.jpg,,28.5.2021
135,The Father,Q65066669,tt10272386,kavi.elonet_elokuva_1625238,theFatherPoster.jpg,,13.8.2021
136,Salainen agentti vanhainkodissa,Q101245192,tt11394298,,theMoleAgentPoster.jpg,,30.1.2021
137,Oikeuden metsästäjät,Q87126473,tt11655202,kavi.elonet_elokuva_1625970,oikeudenMetsastajatPoster.jpg,,2.7.2021
138,Soul,Q64744044,tt2948372,kavi.elonet_elokuva_1627427,soul2020Poster.jpg,,25.12.2020
139,The Trial of the Chicago 7,Q72397975,tt1070874,kavi.elonet_elokuva_1620120,theTrialOfTheChicago7Poster.jpg,,2.10.2020
140,Ma Rainey's Black Bottom,Q65049470,tt10514222,kavi.elonet_elokuva_1624550,maRainerysBlackBottomPoster.jpg,,18.12.2020
141,Judas and the Black Messiah,Q73536766,tt9784798,kavi.elonet_elokuva_1628084,judasAndTheBlackMessiahPoster.jpg,,19.9.2021
142,Da 5 Bloods,Q62277203,tt9777644,,da5Bloods-poster.jpg,,12.6.2021
143,Hytti nro 6,Q107092356,tt10262648,kavi.elonet_elokuva_1611720,Hytti_nro_6_-elokuvan_juliste.jpg,,29.10.2021
144,Dyyni,Q60834962,tt1160419,kavi.elonet_elokuva_1628600,dune-poster.jpg,,17.9.2021
145,The French Dispatch,Q59551547,tt8847712,kavi.elonet_elokuva_1629620,theFrechDispatch-poster.jpg,,22.10.2021
146,Candyman,Q64174907,tt9347730,kavi.elonet_elokuva_1629296,sayITCandyman.jpg,,18.9.2021
147,Junk Head,Q108063387,tt6848928,kavi.elonet_elokuva_1629448,junk-head-juliste.jpg,,8.10.2021
148,Yö armahtaa,Q104423550,tt13328460,kavi.elonet_elokuva_1621316,yo-armahtaa-juliste.jpg,,8.10.2021
149,Gagarine,Q100719246,tt12444424,kavi.elonet_elokuva_1629610,gagarine_poster.jpg,,8.10.2021
150,Persian oppitunnit,Q83487969,tt9738784,kavi.elonet_elokuva_1628919,persianLessonsPoster.jpg,,19.9.2021
151,Pahan naapuri,Q100699177,tt11320192,kavi.elonet_elokuva_1629093,theEvilNextDoorPoster.jpg,,17.9.2021
152,Escape Room: Tournament of Champions,Q64027971,tt9844522,kavi.elonet_elokuva_1629076,escapeRoomTournamentOfChampions.jpg,,24.9.2021
153,Respect,Q79327081,tt2452150,kavi.elonet_elokuva_1629041,respectPoster.jpg,,24.9.2021
154,The Green Knight,Q65091255,tt9243804,kavi.elonet_elokuva_1629060,theGreenKnightPoster.jpg,,24.9.2021
155,007 No Time to Die,Q21534241,tt2382320,kavi.elonet_elokuva_1629271,noTimeToDiePoster.jpg,,30.9.2021
156,The Grandmaster,Q1155695,tt1462900,kavi.elonet_elokuva_1532401,theGrandmasterPoster.jpg,,4.10.2013
157,My Hero Academia: World Heroes' Mission,Q107130536,tt13544716,kavi.elonet_elokuva_1629933,myHeroAcademiaPoster.jpg,,29.10.2021
158,Sorjonen: Muraalimurhat,Q110821331,tt15393650,kavi.elonet_elokuva_1626773,sorjonenPoster.jpg,,27.10.2021
159,Cry Macho,Q103817549,tt1924245,kavi.elonet_elokuva_1629928,cry-macho-juliste.jpg,,29.10.2021
160,Näin pilvet kuolevat,Q107293417,tt14491408,kavi.elonet_elokuva_1625989,nainPilvetKuolevatPoster.jpg,,10.9.2021
161,"Sokea mies, joka ei halunnut nähdä Titanicia",Q108547258,tt13328824,kavi.elonet_elokuva_1621266,sokea-mies-joka-ei-halunnut-nahda-titanicia-juliste.jpg,,10.9.2021
162,The Last Letter from Your Lover,Q72917013,tt1893273,kavi.elonet_elokuva_1630523,lastLetterPoster.jpg,,20.8.2021
163,The Ice Road,Q104681809,tt3758814,kavi.elonet_elokuva_1633297,theIceRoadPoster.jpg,,20.8.2021
164,Fucking with Nobody,Q104434903,tt10272386,kavi.elonet_elokuva_1619680,fuckingWithNobodyPoster.jpg,,11.6.2021
165,Peruna,Q97576021,tt9837320,kavi.elonet_elokuva_1604525,perunaPoster.jpg,,13.8.2021
166,Free Guy,Q38685497,tt6264654,kavi.elonet_elokuva_1627591,freeGuyPoster.jpg,,13.8.2021
167,Wrong Turn,Q67718320,tt9110170,,wrongTurnPoster.jpg,,13.8.2021
168,Old,Q99688807,tt10954652,kavi.elonet_elokuva_1627333,oldPoster.jpg,,21.7.2021
169,Beckett,Q65061274,tt10230994,,beckettPoster.jpg,,13.8.2021
170,Luokkakokous 3 – Sinkkuristeily,Q104213767,tt11905960,kavi.elonet_elokuva_1620703,luokkakokousKolmePoster.jpg,,28.7.2021
171,Reminiscence,Q81207836,tt3272066,kavi.elonet_elokuva_1628485,reminischenePoster.jpg,,3.9.2021
172,Hitman's Wife's Bodyguard,Q61951885,tt8385148,kavi.elonet_elokuva_1627229,hitmansWifesPoster.jpg,,16.7.2021
173,Fast & Furious 9,Q29466808,tt5433138,kavi.elonet_elokuva_1626319,fastAndFurious9Poster.jpg,,30.6.2021
174,Sama nainen,Q64055218,tt9902160,kavi.elonet_elokuva_1628912,samaNainenPoster.jpg,,17.9.2021
175,Yhdessä,Q84318956,tt9845110,kavi.elonet_elokuva_1628484,yhdessaPoster.jpg,,3.9.2021