googleID,genre,genreId
1,Drama,8
2,Comedy,2
2,Drama,8
3,Biography,18
3,Drama,8
4,Action,5
4,Adventure,1
4,Crime,6
5,Biography,18
5,Drama,8
5,Romance,11
6,Comedy,2
6,Drama,8
6,Romance,11
7,Animation,12
7,Drama,8
7,Family,4
8,Drama,8
9,Biography,18
9,Drama,8
9,Thriller,7
10,Documentary,9
10,War,19
11,Comedy,2
12,Crime,6
12,Drama,8
12,Thriller,7
13,Comedy,2
13,Drama,8
13,Thriller,7
14,Drama,8
14,Romance,11
15,Drama,8
15,War,19
16,Animation,12
17,Biography,18
17,Crime,6
17,Drama,8
18,Comedy,2
18,Drama,8
19,Comedy,2
19,Drama,8
19,Family,4
20,Comedy,2
20,Drama,8
20,Sport,21
21,Comedy,2
21,Family,4
22,Horror,15
22,Sci-Fi,16
23,Drama,8
24,Family,4
25,Drama,8
25,Comedy,2
26,Documentary,9
27,Animation,12
27,Adventure,1
27,Comedy,2
28,Animation,12
28,Adventure,1
28,Comedy,2
29,Action,5
29,Comedy,2
29,Crime,6
30,Animation,12
30,Comedy,2
30,Family,4
31,Biography,18
31,Crime,6
31,Drama,8
32,Adventure,1
32,Drama,8
32,Family,4
33,Action,5
33,Adventure,1
33,Comedy,2
34,Horror,15
34,Mystery,10
34,Sci-Fi,16
35,Comedy,2
35,Drama,8
36,Action,5
36,Adventure,1
36,Drama,8
37,Horror,15
38,Comedy,2
38,Drama,8
39,Comedy,2
39,Drama,8
39,War,19
40,Action,5
40,Comedy,2
40,Crime,6
41,Drama,8
42,Comedy,2
42,Comedy,2
43,Biography,18
43,Drama,8
43,History,17
43,Biography,18
43,Drama,8
43,History,17
44,Documentary,9
45,Adventure,1
45,Comedy,2
45,Family,4
46,Animation,12
47,Drama,8
47,Horror,15
47,Mystery,10
48,Drama,8
49,Comedy,2
49,Drama,8
50,Drama,8
51,Documentary,9
51,History,17
53,Documentary,9
54,Drama,8
54,War,19
55,Drama,8
55,History,17
55,Thriller,7
56,Adventure,1
56,Fantasy,3
56,Thriller,7
57,Horror,15
57,Mystery,10
58,Drama,8
59,Drama,8
59,Romance,11
60,Adventure,1
60,Drama,8
60,Mystery,10
61,Comedy,2
61,Drama,8
62,Drama,8
62,Fantasy,3
63,Biography,18
63,Crime,6
63,Drama,8
64,Drama,8
65,Action,5
65,Biography,18
65,Drama,8
66,Comedy,2
67,Action,5
67,Adventure,1
67,Drama,8
68,Comedy,2
68,Drama,8
68,Romance,11
69,Drama,8
70,Action,5
70,Adventure,1
70,Comedy,2
71,Drama,8
71,Music,20
71,Romance,11
72,Comedy,2
72,Drama,8
73,Thriller,7
74,Documentary,9
75,Documentary,9
75,Music,20
76,Horror,15
76,Western,13
77,Comedy,2
77,Drama,8
77,Romance,11
78,Comedy,2
78,Crime,6
78,Drama,8
79,Animation,12
79,Comedy,2
79,Family,4
80,Crime,6
80,Drama,8
80,Thriller,7
81,Horror,15
81,Thriller,7
82,Crime,6
82,Drama,8
82,Thriller,7
83,Drama,8
83,Fantasy,3
83,Horror,15
84,Crime,6
84,Drama,8
85,Comedy,2
85,Drama,8
85,Family,4
86,Adventure,1
86,Drama,8
87,Drama,8
88,Comedy,2
88,Drama,8
88,Music,20
89,Animation,12
89,Comedy,2
89,Family,4
90,Animation,12
91,Drama,8
91,Horror,15
92,Drama,8
93,Comedy,2
94,Action,5
94,Horror,15
94,Thriller,7
95,Documentary,9
96,Adventure,1
96,Comedy,2
96,Crime,6
97,Documentary,9
97,Biography,18
97,History,17
98,Drama,8
99,Biography,18
99,Drama,8
100,Drama,8
100,War,19
101,Action,
101,Thriller,
102,Documentary,
103,Action,
103,Drama,
103,Thriller,
104,Animation,
104,Adventure,
104,Comedy,
105,Comedy,
105,Drama,
106,Animation,
106,Adventure,
106,Comedy,
107,Animation,
107,Comedy,
107,Family,
108,Crime,
108,Drama,
108,Mystery,
109,Action,
109,Sci-Fi,
109,Thriller,
110,Documentary,
111,Documentary,
112,Biography,
112,Drama,
112,Romance,
113,Horror,
113,Mystery,
113,Thriller,
114,Animation,
114,Adventure,
114,Comedy,
115,Comedy,
115,Drama,
115,Music,
116,Animation,
116,Action,
116,Adventure,
117,Comedy,
118,Drama,
118,Horror,
118,Sci-Fi,
119,Drama,
119,Music,
119,Musical,
120,Drama,
121,Crime,
121,Drama,
121,Thriller,
122,Documentary,
123,Drama,
123,Music,
124,Action,
125,Drama,
125,Thriller,
126,Action,
126,Adventure,
126,Fantasy,
127,Drama,
128,Drama,
129,Action,
129,Adventure,
129,Drama,
130,Documentary,
131,Action,
131,Animation,
131,Adventure,
132,Action,
132,Drama,
132,Thriller,
133,Adventure,
133,Comedy,
133,Family,
134,Adventure,
134,Crime,
134,Comedy,
135,Drama,
136,Documentary,
137,Action,
137,Comedy,
137,Drama,
138,Animation,
138,Adventure,
138,Comedy,
139,Drama,
139,History,
139,Thriller,
140,Drama,
140,Music,
141,Biography,
141,Drama,
141,History,
142,Adventure,
142,Drama,
142,War,
143,Drama,
144,Action,
144,Adventure,
144,Drama,
145,Comedy,
145,Drama,
145,Romance,
146,Horror,
146,Thriller,
147,Animation,
147,Action,
147,Adventure,
148,Drama,
149,Drama,
150,Drama,
150,War,
151,Horror,
151,Mystery,
151,Thriller,
152,Action,
152,Adventure,
152,Horror,
153,Biography,
153,Drama,
153,Music,
154,Adventure,
154,Drama,
154,Fantasy,
155,Action,
155,Adventure,
155,Thriller,
156,Action,
156,Biography,
156,Drama,
157,Animation,
157,Action,
157,Adventure,
158,Crime,
158,Drama,
158,Mystery,
159,Drama,
159,Thriller,
159,Western,
160,Documentary,
161,Comedy,
161,Drama,
161,Romance,
162,Drama,
162,Romance,
163,Action,
163,Adventure,
163,Drama,
164,Comedy,
164,Drama,
165,Comedy,
166,Action,
166,Adventure,
166,Comedy,
167,Horror,
167,Thriller,
168,Drama,
168,Horror,
168,Mystery,
169,Action,
169,Crime,
169,Drama,
170,Comedy,
171,Mystery,
171,Romance,
171,Sci-Fi,
172,Action,
172,Comedy,
172,Crime,
173,Action,
173,Adventure,
173,Crime,
174,Drama,
175,Drama,
175,Romance,