googleID,NIMI,kaviID
1,Klaus Härö,elonet_henkilo_148531
2,Autumn de Wilde,elonet_henkilo_1544786
3,Jay Roach,elonet_henkilo_842160
4,Cathy Yan,elonet_henkilo_1544412
5,Terrence Malick,elonet_henkilo_106095
6,Nicolas Bedos,elonet_henkilo_1544860
7,Makoto Shinkai,elonet_henkilo_1531266
8,Tuukka Temonen,elonet_henkilo_710279
9,Agnieszka Holland,elonet_henkilo_110706
10,Feras Fayyad,elonet_henkilo_1544791
11,Taneli Mustonen,elonet_henkilo_933992
12,Ladj Ly,elonet_henkilo_1544780
13,Joon-ho Bong,elonet_henkilo_1249528
14,Greta Gerwig,elonet_henkilo_1507615
15,Sam Mendes,elonet_henkilo_923033
16,Atle Solberg Blakseth,elonet_henkilo_1544336
16,Frank Mosvold,elonet_henkilo_1544337
17,Destin Daniel Cretton,elonet_henkilo_1534948
18,Lulu Wang,elonet_henkilo_1544344
19,Tom Hooper,elonet_henkilo_1327431
20,Tyler Nilson,elonet_henkilo_1544429
20,Michael Schwartz,elonet_henkilo_1544430
21,Lenka Hellstedt,elonet_henkilo_159876
22,Richard Stanley,elonet_henkilo_1491964
23,Hirokazu Kore-eda,elonet_henkilo_208716
24,Jon Holmberg,elonet_henkilo_1540981
25,Pamela Tola,elonet_henkilo_1196237
26,Anna-Karin Grönroos,elonet_henkilo_1114361
27,Dan Scanlon,elonet_henkilo_1506859
28,Nick Bruno,elonet_henkilo_1544387
28,Troy Quane,elonet_henkilo_1544388
29,Guy Ritchie,elonet_henkilo_874295
30,Kevin Johnson,elonet_henkilo_1395307
31,Clint Eastwood,elonet_henkilo_101677
32,Chris Sanders,elonet_henkilo_1083366
33,Jeff Fowler,elonet_henkilo_1544677
34,Leigh Whannell,elonet_henkilo_1259814
35,Olivier Nakache,elonet_henkilo_1500786
35,Eric Toledano,elonet_henkilo_1500787
36,Tom Waller,elonet_henkilo_1544750
37,Miska Kajanus,elonet_henkilo_1203173
38,Philippe de Chauveron,elonet_henkilo_1517258
39,Taika Waititi,elonet_henkilo_1511230
40,Adil El Arbi,elonet_henkilo_1544306
40,Bilall Fallah,elonet_henkilo_1544307
41,Antti J. Jokinen,elonet_henkilo_265003
42,Lauri Randla,elonet_henkilo_1490366
43,Todd Haynes,elonet_henkilo_144789
44,Elina Talvensaari,elonet_henkilo_1455645
45,Stephen Gaghan,elonet_henkilo_954155
46,Tanguy de Kermel,elonet_henkilo_1544912
47,William Brent Bell,elonet_henkilo_1359939
48,Haifaa Al-Mansour,elonet_henkilo_1509412
49,Wayne Roberts,elonet_henkilo_1546528
51,Jouko Aaltonen,elonet_henkilo_100278
52,Rod Lurie,elonet_henkilo_1071352
53,Joosep Matjus,elonet_henkilo_1546555
54,Jessica Swale,elonet_henkilo_1546558
55,Roman Polanski,elonet_henkilo_100363
56,Fenar Ahmad,elonet_henkilo_1544907
57,Nicolas Pesce,elonet_henkilo_1541870
58,Xavier Dolan,elonet_henkilo_1491296
59,Céline Sciamma,elonet_henkilo_1471247
60,James Gray,elonet_henkilo_164604
60,Dan Bradley,elonet_henkilo_1503721
61,Fernando Meirelles,elonet_henkilo_1199537
62,Arttu Haglund,elonet_henkilo_1248944
63,Martin Scorsese,elonet_henkilo_832906
64,Nora Fingscheidt,elonet_henkilo_1543985
65,James Mangold,elonet_henkilo_159063
66,Tiina Lymi,elonet_henkilo_240717
67,Roland Emmerich,elonet_henkilo_132307
68,Paul Feig,elonet_henkilo_237450
69,Bart Freundlich,elonet_henkilo_864485
70,Chris Buck,elonet_henkilo_886332
70,Jennifer Lee,elonet_henkilo_1503685
71,Nisha Ganatra,elonet_henkilo_1325125
72,Mårten Klingberg,elonet_henkilo_1429800
73,Derrick Borte,elonet_henkilo_1501342
74,Juhana Honkonen,elonet_henkilo_1518999
75,Bruce Springsteen,elonet_henkilo_999033
75,Thom Zimny,elonet_henkilo_1544089
76,Emma Tammi,elonet_henkilo_1539945
77,Noah Baumbach,elonet_henkilo_933505
78,Rian Johnson,elonet_henkilo_1290646
79,Vincent Kesteloot,elonet_henkilo_1503859
79,Ben Stassen,elonet_henkilo_968605
80,Andrea Di Stefano,elonet_henkilo_867038
81,Justin Dec,elonet_henkilo_1543890
82,Fatih Akin,elonet_henkilo_1193801
83,Robert Eggers,elonet_henkilo_1541817
84,François Ozon,elonet_henkilo_935952
85,Hannu Aukia,elonet_henkilo_1505142
85,Jaakko Manninen,elonet_henkilo_236744
86,Simon Hunter,elonet_henkilo_952914
87,Ken Loach,elonet_henkilo_112179
88,Gurinder Chadha,elonet_henkilo_201603
89,Greg Tiernan,elonet_henkilo_1527886
89,Conrad Vernon,elonet_henkilo_1247383
90,Christian Ryltenius,elonet_henkilo_1513850
91,Andy Mitton,elonet_henkilo_1546667
92,Ulla Heikkilä,elonet_henkilo_1501418
93,Manele Labidi,elonet_henkilo_1546653
94,Sang-ho Yeon,elonet_henkilo_1543835
95,Anu Kuivalainen,elonet_henkilo_138524
96,Moa Gammel,elonet_henkilo_1490198
97,James Erskine,elonet_henkilo_1548257
98,Veiko Õunpuu,elonet_henkilo_1448009
99,Zaida Bergroth,elonet_henkilo_877360
100,Vaclav Marhoul,elonet_henkilo_1538153
101,Guy Ritchie,elonet_henkilo_874295
102,Anna Antsalo,elonet_henkilo_1343615
103,Taylor Sheridan,elonet_henkilo_1520815
104,Alexs Stadermann,elonet_henkilo_1521476
105,Thomas Vinterberg,elonet_henkilo_205652
106,David Silverman,elonet_henkilo_163703
106,Raymond S. Persi,elonet_henkilo_1524053
107,Tim Story,elonet_henkilo_1206452
108,Joon-ho Bong,elonet_henkilo_1249528
109,Adam Wingard,elonet_henkilo_1507124
110,Joonas Berghäll,elonet_henkilo_1027196
111,Juuso Syrjä,elonet_henkilo_254993
112,Francis Lee,elonet_henkilo_1532746
113,Michael Chaves,elonet_henkilo_1541355
114,Will Gluck,elonet_henkilo_1494984
115,Shannon Murphy,elonet_henkilo_1448506
116,Haruo Sotozaki,elonet_henkilo_1550140
117,Hannaleena Hauru,elonet_henkilo_1341192
118,John Krasinski,elonet_henkilo_1422210
119,Jon M. Chu,elonet_henkilo_1446465
120,Lee Isaac Chung,elonet_henkilo_1550120
121,Emerald Fennell,elonet_henkilo_1550116
122,Suvi West,elonet_henkilo_1361778
123,Darius Marder,elonet_henkilo_1504305
124,Larry Charles,elonet_henkilo_1315721
125,Sami Pöyry,elonet_henkilo_1495234
126,Patty Jenkins,elonet_henkilo_1224188
127,Chloé Zhao,elonet_henkilo_1539923
128,Viggo Mortensen,elonet_henkilo_238786
130,Marko Röhr,elonet_henkilo_105451
131,Don Hall,elonet_henkilo_1494764
131,Carlos López Estrada,elonet_henkilo_1542932
132,Robert Lorenz,elonet_henkilo_1207412
133,Robert Zemeckis,elonet_henkilo_100376
134,Craig Gillespie,elonet_henkilo_1433068
135,Florian Zeller,elonet_henkilo_1550082
137,Anders Thomas Jensen,elonet_henkilo_912981
138,Pete Docter,elonet_henkilo_1045268
138,Kemp Powers,elonet_henkilo_1550787
139,Aaron Sorkin,elonet_henkilo_143431
140,George C. Wolfe,elonet_henkilo_1437590
141,Shaka King,elonet_henkilo_1550891
143,Juho Kuosmanen,elonet_henkilo_1202893
144,Denis Villeneuve,elonet_henkilo_924063
145,Wes Anderson,elonet_henkilo_167848
146,Nia DaCosta,elonet_henkilo_1551221
147,Takahide Hori,elonet_henkilo_1551301
148,Mika Kaurismäki,elonet_henkilo_100249
149,Fanny Liatard,elonet_henkilo_1551330
149,Jérémy Trouilh,elonet_henkilo_1551331
150,Vadim Perelman,elonet_henkilo_1252557
151,Tord Danielsson,elonet_henkilo_1551177
151,Oskar Mellander,elonet_henkilo_1551178
152,Adam Robitel,elonet_henkilo_1521354
153,Tommy Liesl,elonet_henkilo_1551158
154,David Lowery,elonet_henkilo_1527526
155,Cary Joji Fukunaga,elonet_henkilo_1485061
156,Kar-Wai Wong,elonet_henkilo_173706
157,Kenji Nagasaki,elonet_henkilo_1551482
158,Juuso Syrjä,elonet_henkilo_254993
159,Clint Eastwood,elonet_henkilo_101677
160,Tuija Halttunen,elonet_henkilo_164376
161,Teemu Nikki,elonet_henkilo_174299
162,Augustine Frizzell,elonet_henkilo_1551682
163,Jonathan Hensleigh,elonet_henkilo_165206
164,Hannaleena Hauru,elonet_henkilo_1341192
165,Joona Tena,elonet_henkilo_161694
166,Shawn Levy,elonet_henkilo_1104257
168,M. Night Shyamalan,elonet_henkilo_201796
170,Renny Harlin,elonet_henkilo_108102
171,Lisa Joy,elonet_henkilo_1550995
172,Patrick Hughes,elonet_henkilo_1514166
173,Justin Lin,elonet_henkilo_1336731
174,Phyllida Lloyd,elonet_henkilo_1448413
175,Filippo Meneghetti,elonet_henkilo_1550992