"FID","ID","Nimi","Namn","Name","Osoite","Adress","Kaupunki","Stad","Operaattor","Kapasiteet","x","y","Lainauksia","medianLainaMatka","medianLainaAika","Palautuksia","medianPalautusMatka","medianPalautusAika"
225,"117","Brahen puistikko","Braheskvären","Brahen puistikko","Sturenkatu 12","Sturegatan 12","","","",12,24.9481257001872,60.1896657985504,1988,2032,637,1950,2072,715.5
226,"118","Fleminginkatu","Flemingsgatan","Fleminginkatu","Aleksis Kiven katu 30","Aleksis Kivis gata 30","","","",22,24.952206700403,60.1895253157117,2359,1937,635,2266,1793,630.5
227,"119","Gebhardinaukio","Gebhardsplatsen","Gebhardinaukio","Teollisuuskatu 3","Industrigatan 3","","","",20,24.9550767908172,60.1911804709255,848,1951,635,781,1907,662
228,"120","Mäkelänkatu","Backasgatan","Mäkelänkatu","Mäkelänkatu 2","Backasgatan 2","","","",28,24.9633904702172,60.1896359907606,1047,2111,657,958,2121,695.5
229,"121","Vilhonvuorenkatu","Vilhelmsbergsgatan","Vilhonvuorenkatu","Vilhonvuorenkatu 12","Vilhelmsbergsgatan 12","","","",16,24.967854123638,60.1864553029206,3039,2382,698,3098,2362,675
230,"122","Lintulahdenkatu","Fågelviksgatan","Lintulahdenkatu","Lintulahdenkuja 6","Fågelviksgränden 6","","","",24,24.962063375375,60.1836809119419,2887,2211,662,2871,2121,633
231,"123","Näkinsilta","Näckens bro","Näkinsilta","Sörnäisten rantatie 9","Sörnas strandväg 9","","","",24,24.9554449266327,60.179750209022,3002,2064,647.5,2986,2010,639
232,"124","Isoisänsilta","Farfarsbron","Isoisänsilta","Capellan puistotie 2","Capellas allé 2","","","",18,24.9817926053222,60.1826518123339,3207,2514,827,3340,2370,770
233,"125","Arielinkatu","Arielgatan","Arielinkatu","Englantilaisaukio","Englandsskvären","","","",16,24.9797385551711,60.1859217406831,2253,2613,825,2293,2542,761
234,"126","Kalasatama (M)","Fiskehamnen (M)","Kalasatama (M)","Hermannin rantatie 2b","Hermanstads strandväg 2b","","","",24,24.977153892421,60.1875308427268,5284,2016.5,652,5567,2142,661
235,"127","Teurastamo","Teurastamo","Teurastamo","Työpajankatu 2a","Verkstadsgatan 2a","","","",30,24.9711566503401,60.1896945837642,1757,2174,736,1815,2114,662
236,"128","Päijänteentie","Päijännevägen","Päijänteentie","Päijänteentie 1","Päijännevägen 1","","","",14,24.9642238002852,60.1920575919922,822,1823,634,763,2162,763
237,"129","Pernajantie","Pernåvägen","Pernajantie","Mäkelänkatu 25","Backasgatan 25","","","",20,24.9579782365195,60.1942276026523,1380,2180,684.5,1241,2086,712
238,"130","Teollisuuskatu","Industrigatan","Teollisuuskatu","Teollisuuskatu 16","Industrigatan 16","","","",24,24.9487523997729,60.1934740103444,621,1978,658,600,1841.5,656.5
239,"131","Elimäenkatu","Elimägatan","Elimäenkatu","Elimäenkatu 24","Elimägatan 24","","","",24,24.9476290451587,60.1962195625714,1105,2378,717,1090,2316,703.5
240,"132","Hollolantie","Hollolavägen","Hollolantie","Hollolantie 2","Hollolavägen 2","","","",12,24.9546058093258,60.1958861886173,1000,2178,709,892,1677,633
241,"133","Paavalinpuisto","Paulusparken","Paavalinpuisto","Hämeentie 96","Tavastvägen 96","","","",22,24.9614401060515,60.1974798068335,1603,1879,626,1557,1933,625
242,"134","Haukilahdenkatu","Gäddviksgatan","Haukilahdenkatu","Haukilahdenkatu 6","Gäddviksgatan 6","","","",26,24.9676238234156,60.1985338962222,1923,2021,626,1954,2014.5,598.5
243,"135","Velodrominrinne","Velodromsbrinken","Velodrominrinne","Mäkelänkatu 70","Backasgatan 70","","","",12,24.9441912064593,60.2010022969661,1154,2191.5,718,1158,2372,720.5
244,"136","Sofianlehdonkatu","Sofielundsgatan","Sofianlehdonkatu","Isonniitynkatu 7","Storsvängen 7","","","",12,24.9513635992833,60.2032720921502,572,2048,665.5,571,1731,592
245,"137","Arabian kauppakeskus","Arabia köpcentrum","Arabia Shopping Center","Hämeentie 111","Tavastvägen 111","","","",30,24.9665718240118,60.2027696318957,3239,2103,708,3302,2182,679
246,"138","Arabiankatu","Arabiagatan","Arabiankatu","Arabiankatu 7","Arabiagatan 7","","","",22,24.9770790121958,60.2064915569171,1801,2686,871,1927,2623,786
247,"139","Muotoilijankatu","Kairogatan","Kaironkatu","Arabiankatu 21","Tavastvägen 150","","","",16,24.9797040460124,60.2097104145027,892,2974,857.5,923,2944,786
248,"140","Verkatehtaanpuisto","Klädesfabriksparken","Verkatehtaanpuisto","Hämeentie 159","Tavastvägen 159","","","",14,24.9797491905267,60.2136895158892,1420,3171.5,988.5,1400,3249,988
249,"141","Intiankatu","Indiagatan","Intiankatu","Intiankatu 20","Indiagatan 20","","","",16,24.9676246411057,60.207840227695,1363,2350,708,1347,2346,692
250,"142","Koskelantie","Forsbyvägen","Koskelantie","Sofianlehdonkatu 13","Sofielundsgatan 13","","","",14,24.946677279,60.207839984,1768,2444,778.5,1762,2326,745.5
251,"143","Kuikkarinne","Kuikkarinne","Kuikkarinne","Isokaari 10","Storsvängen 10","","","",12,24.8694297861453,60.1570959878378,1042,2469,821.5,1026,2722.5,888.5
252,"144","Käpyläntie","Kottbyvägen","Käpyläntie","Käpyläntie 1","Kottbyvägen 1","","","",14,24.9588108000086,60.2139042918024,1036,2219.5,699,995,2221,770
253,"145","Pohjolankatu","Pohjolagatan","Pohjolankatu","Pohjolankatu 1","Pohjolagatan 1","","","",12,24.9437964005667,60.2134209918355,468,2283,706.5,442,2177,717
254,"146","Pohjolanaukio","Pohjolaplatsen","Pohjolanaukio","Pohjolankatu 40","Pohjolagatan 40","","","",16,24.9543597785941,60.2171787502601,693,2221,699,671,2003,703
255,"147","Käpylän asema","Kottby station","Käpylä station","Panuntie 4","Panuvägen 4","","","",14,24.9479499152249,60.2208033078251,739,2129,618,724,2389,759.5
256,"148","Juhana Herttuan tie","Hertig Johans väg","Juhana Herttuan tie","Antti Korpin tie 3a","Anders Korps väg 3a","","","",16,24.9664522586218,60.2185249019981,958,2137,640,960,1843.5,635
257,"149","Toinen linja","Andra linjen","Toinen linja","Toinen linja 25","Andra linjen 25","","","",22,24.9445685112105,60.1830009926511,1654,2162,635,1563,2162,688
258,"150","Töölönlahden puisto","Tölöviksparken","Töölönlahden puisto","Karamzininranta 4","Karamzins strand  4","","","",24,24.9350784201451,60.1748578219656,2046,2274,735,2128,2448.5,739.5
259,"161","Eteläesplanadi","Södra Esplanaden","Eteläesplanadi","Eteläesplanadi 14","Södrä Esplanaden 14","","","",34,24.9471504600595,60.1671998456303,1405,2024,673,1620,1909,637.5
260,"162","Leppäsuonaukio","Alkärrsplatsen","Leppäsuonaukio","Leppäsuonaukio 1","Alkärrsplatsen 1","","","",28,24.9265784464228,60.1695846151592,1479,1620,508,1465,1815,587
261,"163","Lehtisaarentie","Lövövägen","Lehtisaarentie","Liljasaarentie 1a","Liljeholmsvägen 1a","","","",12,24.8505039451831,60.1819482497591,1164,3051,928,1227,3730,1112
262,"200","Länsiterminaali","Västra terminalen","West Terminal","Sammonlaituri","Sampokajen","","","",24,24.9152135431213,60.1504730320499,234,2671.5,776.5,231,2605,823
263,"201","Länsisatamankuja","Västrahamnsgränden","Länsisatamankuja","Länsisatamankatu 26","Västrahamnsgatan 26","","","",14,24.9120898275496,60.1569514968019,2698,2241,651,2774,2103,640
264,"202","Merihaka","Havshagen","Merihaka","Hakaniemenranta 10","Hagnäskajen 10","","","",16,24.9585285446676,60.1780749105533,1800,1956,616.5,1788,2036,621.5
265,"203","Opastinsilta","Semaforbron","Opastinsilta","Opastinsilta 10","Semaforbron 10","","","",40,24.9381525773313,60.1992657652357,844,3065,841,773,3028,926
266,"204","A.I. Virtasen aukio","A. I. Virtanens plats","A.I. Virtasen aukio","Gustaf Hällströmin katu 1","Gustaf Hällströms gata 1","","","",24,24.9620788508104,60.2055418168461,716,2416.5,718,651,2340,750
267,"205","Ilmalan asema","Ilmala station","Ilmala Station","Ilmalantori 1","Ilmalatorget 1","","","",16,24.9222198886664,60.2066264297482,448,3300,896.5,323,3430,1030
268,"206","Ruskeasuon varikko","Brunakärrs depå","Ruskeasuo depot","Mannerheimintie 117","Mannerheimvägen 117","","","",14,24.8986678907757,60.2076799515229,508,2393,678.5,499,2498,698
269,"207","Vanha Viertotie","Gamla chaussén","Vanha Viertotie","Vanha Viertotie 23","Gamla chaussén 23","","","",16,24.8816602535719,60.2110752881999,984,2218,778,982,2274,711
270,"208","Valimotie","Gjuterivägen","Valimotie","Valimotie 1","Gjuterivägen 1","","","",24,24.8765290693421,60.2159693222985,767,2244,677,794,2164,621.5
271,"209","Takomotie","Smedjevägen","Takomotie","Takomotie 29","Smedjevägen 29","","","",14,24.8710464686467,60.2178996244041,740,2356,676.5,754,2590,727.5
272,"210","Pajamäki","Smedjebacka","Pajamäki","Pajamäentie 12","Smedjebackavägen 12","","","",12,24.8556743832861,60.2188213176358,591,2766,748,585,2706,840
273,"211","Haagan tori","Haga torg","Haagan tori","Haagan tori 1","Haga torg 1","","","",16,24.898930057033,60.2121115807155,843,3130,941,830,2938.5,871
274,"212","Tunnelitie","Tunnelvägen","Tunnelitie","Tunnelitie 3","Tunnelvägen 3","","","",14,24.8995694064157,60.2166149334764,993,3175,935,970,2997,863
275,"213","Huopalahden asema","Hoplaks station","Huopalahti Station","Huopalahden aseman itäinen raittisilta","Hoplaks stations östra järnvägsbro","","","",20,24.8950577369046,60.2180961357994,952,2741,762.5,920,2702,786
276,"214","Valimon asema","Gjuteriets station","Valimo Station","Valimopolku 3","Gjuteristigen 3","","","",20,24.8758443985049,60.2223022514537,375,2460,671,372,1736,539
277,"215","Pitäjänmäen asema","Sockenbacka station","Pitäjänmäki Station","Pitäjänmäentie 21","Sockenbackavägen 21","","","",16,24.8586292857926,60.2243090934475,468,2390,656.5,448,2490,714.5
278,"216","Jännetie","Bågsträngsvägen","Jännetie","Konalantie 6","Kånalavägen 6","","","",12,24.8535714902996,60.2267575847976,475,2755,740,496,2664.5,802.5
279,"217","Marttila","Martas","Marttila","Vihdintie 302","Vichtisvägen 302","","","",16,24.8732133049419,60.2271498086552,339,3252,954,343,3283,870
280,"218","Pohjois-Haagan asema","Norra Haga station","Pohjois-Haaga Station","Pennikuja 2","Penninggränden 2","","","",16,24.8830806372706,60.2300717042706,747,2213,727,747,2127,674
281,"219","Näyttelijäntie","Skådespelarvägen","Näyttelijäntie","Kaupintie 3","Krämärvägen 3","","","",16,24.887547040742,60.2328640962858,462,3259.5,980,462,2855,888.5
282,"220","Ida Aalbergin tie","Ida Aalbergs väg","Ida Aalbergin tie","Näyttelijäntie 14","Skådespelarvägen 14","","","",18,24.8952023541771,60.2295326765972,650,2651,792,612,2783,891.5
283,"221","Thalianaukio","Thaliaplatsen","Thalianaukio","Aino Ackten tie 1","Aino Acktés väg 1","","","",14,24.8947958642764,60.2253423108921,621,3128,980,630,3179,975
284,"222","Huovitie","Knektvägen","Huovitie","Huovitie 10","Knektvägen 10","","","",12,24.9032866466572,60.2219755272546,592,2822.5,857.5,571,2791,809
285,"223","Hämeenlinnanväylä","Tavastehusleden","Hämeenlinnanväylä","Teuvo Pakkalan tie 2","Eliel Saarinens väg 2","","","",14,24.9028322456731,60.2274510674778,0,0,0,0,0,0
286,"224","Vesakkotie","Snårvägen","Vesakkotie","Männikkötie 11","Talldungevägen 11","","","",12,24.9266153826484,60.2279595153713,441,3624,1018,453,4012,1090
287,"225","Maunula","Månsas","Maunula","Maunulanmäki 2","Månsasbacken 2","","","",16,24.9325030021006,60.2303828796011,345,3785,1056,344,3537,1014
288,"226","Lepolantie","Lepolavägen","Lepolantie","Lepolantie 61","Lepolavägen 61","","","",14,24.9286046557082,60.2390854029504,323,4647,1309,370,4459,1283
289,"227","Kylävoudintie","Byfogdevägen","Kylävoudintie","Kylävoudintie 6","Byfogdevägen 6","","","",14,24.9525612440734,60.2244037765729,428,3039,915.5,397,3003,842
290,"228","Kustaankartano","Gustafsgård","Kustaankartano","Maapadontie 3","Jorddammsvägen 3","","","",20,24.9487651621964,60.2307028618145,332,2423,807,265,1876,647
291,"229","Käskynhaltijantie","Ståthållarvägen","Käskynhaltijantie","Hirsipadontie 2","Timmerdammsvägen 2","","","",18,24.957934116941,60.2332319429452,290,1740.5,622,255,1780,635
292,"230","Mäkitorpantie","Kullatorpsvägen","Mäkitorpantie","Kylänvanhimmantie 29","Byäldstevägen 29","","","",18,24.9603356197765,60.2285300629765,161,3087,1011,160,2838,900
293,"231","Siltavoudintie","Brofogdegränd","Siltavoudintie","Käskynhaltijantie 22","Ståthållarvägen 22","","","",16,24.9649692401006,60.2337172192606,373,2841,909,351,3326,1019
294,"232","Oulunkylän asema","Åggelby station","Oulunkylä Station","Oulunkyläntori 2","Åggelbytorget 2","","","",14,24.9667185624345,60.2291001546027,686,2164,706,689,2054,642
295,"233","Kirkkoherrantie","Kyrkoherdevägen","Kirkkoherrantie","Kirkkoherrantie 5","Kyrkoherdevägen 5","","","",10,24.9728193757834,60.2249303574235,305,2558,827,301,2448,962
296,"234","Otto Brandtin tie","Otto Brandts väg","Otto Brandtin tie","Tulvaniityntie 2","Flödängsvägen 2","","","",20,24.9781389181685,60.2317840575086,631,3068,949,699,2938,867
297,"235","Katariina Saksilaisen katu","Katarina av Sachsens gata","Katariina Saksilaisen katu","Katariina Saksilaisen katu 6","Katarina av Sachsens gata 6","","","",16,24.9844208812225,60.2172068185826,754,3144,948,789,2856,923
298,"236","Hernepellontie","Ärtåkersvägen","Hernepellontie","Harjannetie 44","Krönvägen 44","","","",14,24.9886129703087,60.2242412608413,420,3188,899,418,3132,872.5
299,"237","Aulangontie","Aulankovägen","Aulangontie","Harjannetie 2","Krönvägen 2","","","",16,24.9985804201601,60.2302596315427,335,3232,1026,308,3280,953.5
300,"238","Pihlajamäki","Rönnbacka","Pihlajamäki","Meripihkatie 3","Bärnstensvägen 3","","","",16,25.0103139042596,60.2345785634218,417,2211,765,394,2310,762.5
301,"239","Viikin tiedepuisto","Viks forskarpark","Viikki Science Park","Viikintori","Vikstorget","","","",28,25.0100484016428,60.2275394155784,1465,3289,969,1454,3484.5,957
302,"240","Viikin normaalikoulu","Normalskolan i Vik","Viikki Teacher Training School","Kevättori","Vårtorget","","","",20,25.0275940265593,60.2274649666156,750,3635,1042.5,825,3428,930
303,"241","Agronominkatu","Agronomgatan","Agronominkatu","Latokartanontori","Ladugårdstorget","","","",24,25.0328574018929,60.2340530021105,494,2880,901,547,2724,869
304,"242","Von Daehnin katu","Von Daehns gata","Von Daehnin katu","Von Daehnin katu 14","Von Daehns gata 14","","","",14,25.0436178847114,60.2303443513437,203,2623,826,218,2579,807.5
305,"243","Mustikkamaa","Blåbärslandet","Mustikkamaa","Mustikkamaantie 8","Blåbärslandsvägen 8","","","",20,24.992105405271,60.181844391759,1181,2301,771,1181,2260,775
306,"244","Relanderinaukio","Relandersplatsen","Relanderinaukio","Ståhlbergintie 6","Ståhlbergsvägen 6","","","",16,25.0058079125449,60.1858547331594,747,2391,774,739,2734,835
307,"245","Kulosaari (M)","Brändö (M)","Kulosaari (M)","Ukko-Pekan porras","Ukko-Pekkas trappstig","","","",20,25.0064636871854,60.1889293103178,1472,3103.5,922,1460,3767,1099
308,"246","Tupasaarentie","Stugövägen","Tupasaarentie","Risto Rytin tie 30","Risto Rytis väg 30","","","",12,25.0153289779219,60.1878871226314,475,2895,953,467,2746,874
309,"247","Haakoninlahdenkatu","Håkanviksgatan","Haakoninlahdenkatu","Koirasaarentie 33","Hundholmsvägen 33","","","",16,25.0208609553502,60.1688685506822,276,3591,1124,286,2630.5,880.5
310,"248","Gunillantie","Gunillavägen","Gunillantie","Koirasaarentie 32","Hundholmsvägen 32","","","",16,25.0330122371046,60.1719938510831,407,2785,816,431,2115,854
311,"249","Isosaarentie","Mjölövägen","Isosaarentie","Köökarinkuja 3","Kökargränden 3","","","",14,25.0450147987503,60.1755054994249,471,2830,778,460,2793,802
312,"250","Reiherintie","Reihersvägen","Reiherintie","Laajasalontie 13","Degerövägen 13","","","",12,25.0474962642387,60.1677304952092,302,3371,917.5,296,2307.5,865
313,"251","Laajasalon ostoskeskus","Degerö köpcentrum","Laajasalo shopping center","Yliskylän puistokatu 4","Uppby parkgata 4","","","",16,25.0519120121374,60.1800091502319,871,2091,618,875,2235,654
314,"252","Humalniementie","Humleuddsvägen","Humalniementie","Ryytikuja 2","Kryddgränden 2","","","",14,25.0530603555751,60.1837062881609,336,2306,726,321,2242,745
315,"253","Tammisalon aukio","Tammelundsplatsen","Tammisalon aukio","Väylänrinne 1","Båtledsbrinken 1","","","",20,25.0610604378889,60.1916636460758,340,2498.5,854.5,346,2410,773.5
316,"254","Agnetankuja","Agnetagränden","Agnetankuja","Laivalahdenkaari 24","Båtviksbågen 24","","","",16,25.0365006704009,60.1872113457581,690,1793,686,712,1460.5,502
317,"255","Laivalahden puistotie","Båtsviksallén","Laivalahden puistotie","Laivalahden puistotie 10","Båtsvikallén 10","","","",16,25.0313242435422,60.1879616899796,827,1352,537,848,1291.835,448.5
318,"256","Herttoniemenranta","Hertonäs strand","Herttoniemenranta","Paasivaarankatu 1","Paasivaaragatan 1","","","",14,25.0261074895481,60.1902241178364,728,3208.5,962.5,714,3082,892
319,"257","Margareetankuja","Margaretagränden","Margareetankuja","Margareetankuja 4","Margaretagränden 4","","","",14,25.0372267110383,60.1910267485051,372,1839.5,660,355,1521,518
320,"258","Abraham Wetterin tie","Abraham Wetters väg","Abraham Wetterin tie","Sorvaajankatu 1","Svarvaregatan 1","","","",16,25.0426533906378,60.1927661994999,872,2274.5,852,836,2493,873.5
321,"259","Petter Wetterin tie","Petter Wetters väg","Petter Wetterin tie","Hitsaajankatu 16","Svetsargatan 16","","","",20,25.0310806077186,60.1931499986426,2479,2282,726,2523,2280,731
322,"260","Herttoniemi (M)","Hertonäs (M)","Herttoniemi (M)","Hiihtäjäntie 2","Skidlöparvägen 2","","","",24,25.0289074357313,60.1946246004701,1516,2055,683.5,1487,2005,628
323,"261","Asentajanpuisto","Montörsparken","Asentajanpuisto","Asentajankatu 8","Montörsgatan 8","","","",16,25.0424582865295,60.1991534842401,487,2558,856,478,2656.5,776.5
324,"262","Siilitie (M)","Igelkottsvägen (M)","Siilitie (M)","Siilitie 2","Igelkottsvägen 2","","","",22,25.0451499077688,60.2059412826664,959,1742,556,963,1304,388
325,"263","Herttoniemen kirkko","Hertonäs kyrka","Herttoniemi Church","Karhutie 11","Björnvägen 11","","","",16,25.0322254160118,60.1984720937284,366,1933,665,336,2200.5,884
326,"264","Eränkävijäntori","Jägartorget","Eränkävijäntori","Hiihtomäentie 39","Skidbacksvägen 39","","","",16,25.0336255327162,60.2045796219055,520,1489,476.5,483,2003,712
327,"265","Siilitie 9","Igelkottsvägen 9","Siilitie 9","Siilitie 12","Igelkottsvägen 12","","","",16,25.0375268074421,60.209453145538,591,2237,712,576,2043,682
328,"266","Siilitie 13","Igelkottsvägen 13","Siilitie 13","Sopulirinne 2","Lemmelbrinken 2","","","",14,25.0438403800837,60.2150936967815,206,2106,516,188,2492.5,751
329,"267","Roihupelto","Kasåkern","Roihupelto","Viilarintie 6","Filarvägen 6","","","",16,25.0550878014734,60.2093671231044,600,2164,637,618,2133,611.5
330,"268","Porolahden koulu","Porovikens skola","Porolahti school","Roihuvuorentie 6b","Kasbergsvägen 6b","","","",14,25.0535809447117,60.1955233353498,736,2281,806,846,2205,837.5
331,"269","Peukaloisentie","Tummelitens väg","Peukaloisentie","Untuvaisentie 2","Dunungens väg 2","","","",12,25.0585469211702,60.1987082869369,345,2289,744,327,2191,776
332,"270","Tulisuontie","Kaskärrsvägen","Tulisuontie","Roihuvuorentie 25","Kasbergsvägen 25","","","",16,25.0600755207072,60.2020741769704,507,1901,574,473,2372,849
333,"271","Prinsessantie","Prinsessvägen","Prinsessantie","Prinsessantie 2","Prinsessvägen 2","","","",16,25.059863346683,60.2062943134753,228,1211,395,212,1567.5,528.5
334,"272","Marjaniementie","Maruddsvägen","Marjaniementie","Rakettipolku 5","Raketstigen 5","","","",16,25.076069360708,60.2043248841061,630,1729,559.5,726,1173,451.5
335,"274","Voikukantie","Smörblommevägen","Voikukantie","Kauppakartanonkatu 10","Handelshusgatan 10","","","",16,25.0867813029403,60.2090159546746,896,2085,679,899,2291,688
336,"275","Itäkeskus (M)","Östra centrum (M)","Itäkeskus (M)","Tallinnanaukio 2","Revalsplanen 2","","","",28,25.0759744433382,60.2096186210914,1138,1509.5,489,1126,1571,464
337,"276","Puotinharju","Botbyhöjden","Puotinharju","Turunlinnantie 4","Åbohusvägen 4","","","",24,25.0824161004374,60.2125560259595,392,2115,747,382,2057,661
338,"277","Marjaniemi","Marudd","Marjaniemi","Marjaniementie 23","Maruddsvägen 23","","","",14,25.0863443649103,60.2036199297435,189,3065,961,205,2607,802
