"FID","ID","Nimi","Namn","Name","Osoite","Adress","Kaupunki","Stad","Operaattor","Kapasiteet","x","y","Lainauksia","medianLainaMatka","medianLainaAika","Palautuksia","medianPalautusMatka","medianPalautusAika"
339,"278","Puotilantie","Botbygårdsvägen","Puotilantie","Puotilantie 4","Botbygårdsvägen 4","","","",14,25.1004180257133,60.2090787864561,362,1113,381.5,383,1400,452
340,"279","Puotinkylän kartano","Botby gård","Puotinkylä Manor","Puotilantie 12","Botbygårdsvägen 12","","","",16,25.1062099916086,60.2125374414988,227,1413,479,249,1334,462
341,"280","Puotilan ostoskeskus","Botby köpcentrum","Puotila shopping center","Klaavuntie 11","Klåvusvägen 11","","","",14,25.0955595128971,60.2127005636951,441,1491,539,449,1533,500
342,"281","Puotila (M)","Botby gård (M)","Puotila (M)","Vanhanlinnantori","Vanhalinnatorget","","","",20,25.0910915854205,60.2148242972699,526,1403,526,590,1225,431.5
343,"282","Karhulantie","Karhulavägen","Karhulantie","Kiviportintie 2","Stenportsvägen 2","","","",12,25.1022019197012,60.2187064270041,309,1343,436,305,1472,496
344,"283","Alakiventie","Understensvägen","Alakiventie","Alakiventie 4","Understensvägen 4","","","",14,25.0772822325582,60.2198397844715,191,1915,715,180,1781.5,594.5
345,"284","Myllypuro (M)","Kvarnbäcken (M)","Myllypuro (M)","Kivensilmänkuja 1","Kvarnögsgränden 1","","","",28,25.0753901685843,60.2240882550803,584,2033,630.5,538,1865,641.5
346,"285","Orpaanporras","Lättan","Orpaanporras","Orpaanporras 14","Lättan 14","","","",14,25.0654178214231,60.22354882948,364,1144,482,328,1699.5,696.5
347,"286","Mamsellimyllynkatu","Mamsellskvarnsgatan","Mamsellimyllynkatu","Mamsellimyllynkatu 26","Mamsellkvarnsgatan 26","","","",16,25.0591030723076,60.2182457763173,249,1611,527,242,1921,772.5
348,"290","Vallilan varikko","Vallgårds depå","Vallilan varikko","Hämeentie 86","Tavastvägen 86","","","",20,24.9628231422149,60.1952459460233,701,1968,619,594,1974,672
349,"291","Itäkeskus Metrovarikko","Östrä Centrum depå","Itäkeskus Metrovarikko","Metrovarikonkuja 6","Metrodepågränden 6","","","",16,25.0657818190343,60.2114607347613,290,871,275,268,865,268.5
350,"292","Koskelan varikko","Forsby depå","Koskelan varikko","Valtimontie 10","Valtimovägen 10","","","",16,24.9698571193553,60.2125872907979,596,2680.5,790,590,2691,716.5
351,"293","Korkeasaari","Högholmen","Korkeasaari","Mustikkamaanpolku 12","Blåbärslandsstigen 12","","","",16,24.9825269338023,60.1799061320186,697,1963,737,686,1874,647.5
352,"294","Postipuisto","Postipuisto","Postipuisto","Niittylänpolku 16","Ängsskogsstigen 16","","","",18,24.9337369553808,60.2203012590912,463,2809,851,455,2993,912
353,"301","Aurinkotuulenkatu","Solvindsgatan","Aurinkotuulenkatu","Solvikinkatu 21","Solviksgatan 21","","","",30,25.1593463483962,60.202773395376,356,1732,796.5,365,1933,735
354,"302","Sumukuja","Dimgränden","Sumukuja","Sumukuja 2","Dimgränden 2","","","",18,25.1584093750563,60.2054467315293,213,1599,736,211,1890,785
355,"303","Leikosaarentie","Lekholmsvägen","Leikosaarentie","Leikosaarentie 25","Lekholmsvägen 25","","","",16,25.1515462608624,60.2046812958719,201,2201,738,180,2164,769.5
356,"304","Aurinkolahdenaukio","Solviksplatsen","Aurinkolahdenaukio","Aurinkoranta 8","Solstranden 8","","","",24,25.1501135293384,60.2011360782064,201,1999,830,247,1545,725
357,"305","Kalkkihiekantie","Kalksandsvägen","Kalkkihiekantie","Kalkkihiekantie 1","Kalksandsvägen 1","","","",16,25.1430402936212,60.202124196154,287,1029,411,337,871,373
358,"306","Kauppakeskus Columbus","Köpcentrum Columbus","Shopping Center Columbus","Valkopaadentie 1","Vithällsvägen 1","","","",20,25.1455043565057,60.2063719022092,410,1170,379.5,402,1153.5,424.5
359,"315","Vuosaaren liikuntapuisto","Nordsjö idrottspark","Vuosaaren liikuntapuisto","Pallokuja 4","Bollgränden 4","","","",18,25.1534645734222,60.2122976062757,91,1076,506,84,1228,488
360,"308","Mosaiikkitori","Mosaiktorget","Mosaiikkitori","Mosaiikkitori 1","Mosaiktorget 1","","","",24,25.143852587603,60.2079753561922,561,1386,400,540,1393,401.5
361,"309","Kaivonkatsojanpuisto","Brunnsökarparken","Kaivonkatsojanpuisto","Kaivonkatsojantie 5","Brunnsökarvägen 5","","","",18,25.1359993335263,60.2044047701442,246,1408.5,484.5,244,1226,483
362,"310","Halkaisijantie","Klyvarvägen","Halkaisijantie","Halkaisijantie 4","Klyvarvägen 4","","","",18,25.1279098203443,60.2023869312805,187,2178,601,166,1817.5,675.5
363,"311","Ramsinniementie","Ramsöuddsvägen","Ramsinniementie","Ramsinniementie 1","Ramsöuddsvägen 1","","","",18,25.1199060794359,60.1995636503578,338,1771,559.5,311,1684,567
364,"312","Meri-Rastilan tori","Havsrastböletorget","Meri-Rastilan tori","Meri-Rastilan kuja 2","Havsrastbölegränden 2","","","",16,25.1194224144705,60.2041542257304,263,2064,636,260,2252,751
365,"313","Rastila (M)","Rastnöle (M)","Rastila (M)","Karavaanisilta 3","Karavanbron 3","","","",16,25.1201408621083,60.2055354689175,492,2265,727.5,478,2197,690.5
366,"314","Lokitie","Loggvägen","Lokitie","Vuosaarentie 1","Nordsjövägen 1","","","",18,25.1365036011866,60.2095580685415,190,1735,622,186,1536,567.5
367,"316","Punakiventie","Rödstensvägen","Punakiventie","Punakiventie 12","Rödstensvägen 12","","","",16,25.1467500568672,60.2140014852962,149,953,373,143,1027,327
368,"317","Haapasaarentie","Aspholmsvägen","Haapasaarentie","Marielundinaukio 1","Marielundsplatsen 1","","","",18,25.146787178183,60.2187766341847,168,1539,615.5,179,1482,488
369,"318","Vuosaaren puistopolku","Nordsjö parkstig","Vuosaaren puistopolku","Mustalahdenpolku 2","Svartviksstigen 2","","","",14,25.1410953624725,60.221320897051,295,1748,688,289,1727,667
370,"319","Purjetie","Segelvägen","Purjetie","Kallvikintie","Kallviksvägen","","","",18,25.1338286912921,60.2196483224979,171,2262,664,166,1702,567.5
371,"320","Koukkusaarentie","Krokholmsvägen","Koukkusaarentie","Kallvikintie","Kallviksvägen","","","",16,25.1342325127583,60.213980722047,251,1237,440,245,1402,501
372,"321","Vartioharjuntie","Botåsvägen","Vartioharjuntie","Vartioharjuntie 13","Botåsvägen 13","","","",14,25.110914414719,60.2208894708644,43,1449,535,42,1497.5,642
373,"322","Rukatunturintie","Rukatunturivägen","Rukatunturintie","Mellunmäentie 27","Mellungsbackavägen 27","","","",14,25.1275969785102,60.2312813452731,49,3016,863,53,2981,924
374,"323","Sallatunturintie","Sallatunturivägen","Sallatunturintie","Sallatunturintie 2","Sallatunturivägen 2","","","",16,25.118300016596,60.2367409143469,29,3653,1009,24,4532.5,1171
375,"325","Mellunmäki (M)","Mellungsbacka (M)","Mellunmäki (M)","Pallaksentie 3","Pallasvägen 3","","","",20,25.1098747367064,60.2385353540219,66,1899.5,836,68,3200.5,759.5
376,"324","Sinkilätie","Märlvägen","Sinkilätie","Untamalantie 2","Untamalavägen 2","","","",16,25.1110602327979,60.2329614527257,36,2093.5,850,32,895,307
377,"327","Humikkalankuja","Humikkalagränd","Humikkalankuja","Rintinpolku 2","Grindstigen 2","","","",16,25.0900641525363,60.2298249948271,28,2423.5,876.5,24,2537,831.5
378,"328","Lallukankuja","Lallukkagränden","Lallukankuja","Lallukankuja 1","Lallukkagränden 1","","","",12,25.082971174464,60.2235265780465,34,2702,776,27,3575,1129
379,"329","Kurkimäki","Tranbacka","Kurkimäki","Kurkimäentie 3","Tranbackavägen 3","","","",16,25.0716416497357,60.2282903943644,44,2161,724.5,45,1275,330
380,"330","Kontula (M)","Gårdsbacka (M)","Kontula (M)","Kontulankaari 1","Gårdsbackabågen 1","","","",20,25.0826095549619,60.2360953526154,192,1161.5,388.5,176,1301.5,479
381,"326","Tuukkalantie","Tuukkalavägen","Tuukkalantie","Aarteenetsijäntie 10","Skattsökarvägen 10","","","",16,25.1007232150956,60.2388442456374,38,2156,1028,36,1281.5,761
382,"331","Lettopolku","Gungflystigen","Lettopolku","Lettopolku 2","Gungflystigen 2","","","",16,25.0855297731565,60.240913939764,26,2660.5,826.5,31,869,409
383,"332","Kontulankaari","Gårdsbackabågen","Kontulankaari","Kontulankaari 7","Gårdsbackabågen 7","","","",16,25.076226580763,60.2438416352054,39,1494,617,35,1366,547
384,"333","Kivikonkaari","Stensbölebågen","Kivikonkaari","Kontulankaari 8, toinen puoli","Gårdsbackabågen 8, andra sidan","","","",14,25.0746433427518,60.2399042915928,76,597,246.5,68,584,261
385,"334","Varustuksentie","Rustningsvägen","Varustuksentie","Varustuksentie 1","Rustningsvägen 1","","","",14,25.0668572558023,60.2391310073666,55,1157,381,47,1114,324
386,"335","Kurkimäentie","Tranbackavägen","Kurkimäentie","Kivikonkaari 30","Stensbölebågen 30","","","",16,25.0626083649392,60.2331943880568,73,1772,746,74,1944.5,686
387,"336","Kivikonlaita","Stensbölekanten","Kivikonlaita","Kivikonlaita 2","Stensbölekanten 2","","","",16,25.0549152254879,60.230462178329,57,1794,574,44,2038,742
388,"337","Kivikon liikuntapuisto","Stensböle idrottspark","Kivikko sports park","Savikiekontie 6","Lerduvevägen 6","","","",16,25.0524695830581,60.23703581972,42,2358.5,1007.5,35,2068,520
389,"338","Jakomäentie","Jakobackavägen","Jakomäentie","Jakomäentie 18","Jakobackavägen 18","","","",16,25.0743775866131,60.2537712252939,3,2455,685,6,2002.5,633
390,"340","Jakomäki","Jakobacka","Jakomäki","Jakomäenkuja 2","Jakobackagränden 2","","","",16,25.0759055985793,60.2610194104155,11,4057,1041,14,4760,1055
391,"339","Alppikylä","Alpbyn","Alppikylä","Tattariharjuntie 51","Tattaråsvägen 51","","","",14,25.0648942053969,60.259431119227,3,4698,1682,3,4402,1103
392,"341","Heikinlaakso","Henriksdal","Heikinlaakso","Vanha Porvoontie 32","Gamla Borgåvägen 32","","","",16,25.0727127107009,60.2701965544061,3,2630,550,4,2776.5,717
393,"342","Puistolan VPK","Parkstads FBK","Puistolan VPK","Puistolan raitti 5","Parkstads bygata 5","","","",18,25.0575355661699,60.2700856600164,5,2068,804,7,2150,801
394,"343","Puistolantori","Parkstads torg","Puistolantori","Puistolantori 1","Parkstads torg 1","","","",12,25.0458546004102,60.2743699271658,3,931,371,8,2757,995.5
395,"344","Puistolan asema","Parkstad järnvägsstation","Puistolan asema","Tapulikaupungintie 1","Stapelstadsvägen 1","","","",16,25.0343501212405,60.2751896029642,33,2662,829,33,1866,485
396,"346","Maatullinkuja","Landtullsgränden","Maatullinkuja","Maatullinkuja 17","Landtullsgränden 17","","","",18,25.0246919817259,60.2762367892689,32,1624,675.5,25,1259,593
397,"347","Sateenkaarentie","Regnbågsvägen","Sateenkaarentie","Suutarilantie 60","Skomakarbölevägen 60","","","",18,25.0110629825049,60.2807560752423,4,1969,656.5,7,2211,694
398,"348","Siltamäki","Brobacka","Siltamäki","Jousimiehentie 3","Skyttens väg 3","","","",12,24.9893966166804,60.2744670938261,21,3073,1251,29,4116,1226
399,"349","Töyrynummentie","Lidmalmsvägen","Töyrynummentie","Töyrynummentie 2","Lidmalmsvägen 2","","","",16,25.0039702918602,60.2719623839468,17,2532,963,14,3968.5,1265
400,"350","Töyrynummi","Lidamalmen","Töyrynummi","Pertunpellontie 4","Bertåkersvägen 4","","","",14,24.9929902179008,60.2671467662216,9,2378,759,11,3132,1181
401,"351","Kotinummentie","Hemmalmsvägen","Kotinummentie","Kotinummentie 68","Hemmalmsvägen 68","","","",16,25.0135723691851,60.2675063004499,30,2074,628,26,1892.5,621.5
402,"345","Porvarintie","Borgarvägen","Porvarintie","Porvarintie 8-10","Borgarvägen 8-10","","","",16,25.032655333,60.27189034,3,567,271,1,914,445
403,"353","Helluntairaitti","Pingststråket","Helluntairaitti","Tasankotie 14","Slättvägen 14","","","",20,25.0368876017095,60.2632142978322,114,2968,1157.5,129,2813,1055
404,"352","Tapanilan asema","Mosabacka järnvägsstation","Tapanila railway station","Sompiontori 1","Sompiotorget 1","","","",12,25.0281239739891,60.2633039538104,35,2178,657,33,2205,723
405,"354","Saniaiskuja","Ormbunksgränden","Saniaiskuja","Saniaiskuja 1","Ormbunksgränden 1","","","",16,25.0290905800296,60.25909156602,9,1553,438,10,4429.5,1179.5
406,"355","Halmetie","Brännvägen","Halmetie","Vanha Tapaninlantie 70","Gamla Staffansbyvägen 70","","","",16,25.0176577469294,60.2609068068142,27,1459,470,24,1337,470
407,"356","Laulurastaantie","Trastvägen","Laulurastaantie","Laulurastaantie 25","Trastvägen 25","","","",14,25.0033102423416,60.2608846521727,21,1457,506,21,1165,427
408,"357","Vanha Tapanilantie","Gamla Staffansbyvägen","Vanha Tapanilantie","Kirkonkyläntie 79","Kyrkobyvägen 79","","","",16,24.9897538768656,60.2596990442275,25,3936,1121,29,2860,831
409,"358","Syystie","Höstvägen","Syystie","Kirkonkyläntie 34","Kyrkobyvägen 34","","","",18,24.9986055764439,60.256671174374,166,3344.5,931.5,155,3331,949
410,"359","Malmin sairaala","Malms sjukhus","Malmi Hospital","Kirkonkyläntie 23","Kyrkobyvägen 23","","","",16,25.0028280196256,60.2541586216461,64,1405.5,495.5,61,486,248
411,"360","Malmin asema","Malm järnvägsstation","Malmi railway station","Ylä-Malmin tori 3","Övre Malms torg 3","","","",24,25.0091215694658,60.2523255258372,223,1255,429,205,1266,581
412,"361","Huhtakuja","Fallåkersgränden","Huhtakuja","Kotinummentie 5","Hemmalmsvägen 5","","","",16,25.0131080169475,60.2575633298897,11,749,323,13,2044,840
413,"362","Teerisuontie","Orrmossevägen","Teerisuontie","Teerisuontie 27","Orrmossevägen 27","","","",14,25.0214900833646,60.2533940877891,118,2847,917.5,119,1594,660
414,"364","Ala-Malmin tori","Nedre Malms torg","Ala-Malmin tori","Pikkalankatu 5","Pickalagatan 5","","","",20,25.0132371443462,60.2503063500603,272,2688,794,274,2625.5,763
415,"363","Väärämäentie","Vindobackavägen","Väärämäentie","Väärämäentie 2-4","Vindobackavägen 2-4","","","",12,25.0297267023462,60.2426928298539,76,2535,786.5,66,2260.5,797
416,"365","Karviaistie","Stickelvägen","Karviaistie","Karviaistie 3","Stickelvägen 3","","","",16,25.0078604417066,60.2468453049551,107,1347,500,103,1815,600
417,"366","Tilketori","Drevtorget","Tilketori","Tilketori 1","Drevtorget 1","","","",20,25.0039930501515,60.2498265610789,111,2987,1142,123,2942,897
418,"367","Karhusuontie","Björnkärrsvägen","Karhusuontie","Karhusuontie 27","Björnkärrsvägen 27","","","",14,24.9870649315623,60.2517795830055,0,0,0,0,0,0
419,"372","Jokipellontie","Åfältsvägen","Jokipellontie","Jokipellontie 10","Åfältsvägen 10","","","",16,24.9833214791834,60.2452177923159,0,0,0,0,0,0
420,"368","Pukinmäen liikuntapuisto","Bocksbacka idrottspark","Pukinmäki sports park","Kenttätie 10","Fältvägen 10","","","",14,24.9917239060614,60.2477323351629,0,0,0,0,0,0
421,"369","Pukinmäen asema","Bocksbacka järnvägsstation","Pukinmäki railway station","Pukinmäenaukio 4","Bocksbackaplanen 4","","","",16,24.9939952300621,60.2430864481668,0,0,0,0,0,0
422,"370","Rapakiventie","Örstensvägen","Rapakiventie","Lucina Hagmanin kuja 1","Lucina Hagmans gränd 1","","","",16,25.0013676173171,60.2393196827549,215,3546,1160,208,3513,1187
423,"391","Tollinpolku","Tollsstigen","Tollinpolku","Luutnantinpolku 7a","Juustensvägen 4","","","",12,24.8677110166808,60.245908525041,0,0,0,0,0,0
424,"373","Mikkolantie","Mickelsvägen","Mikkolantie","Mikkolantie 12","Mickelsvägen 12","","","",16,24.9715442521575,60.2355666358133,1,2517,1168,1,6444,1357
425,"374","Etupellonpuisto","Framåkersparken","Etupellonpuisto","Yhdyskunnantie 22","Samhällsvägen 22","","","",18,24.95944937493,60.2419862673955,0,0,0,0,0,0
426,"375","Piikintie","Piksvägen","Piikintie","Yhdyskunnantie 54","Samhällsvägen 54","","","",12,24.9581440446396,60.2488559062646,0,0,0,0,0,0
427,"376","Torpparinmäentie","Torparbacksvägen","Torpparinmäentie","Kuusmiehenkaari 5","Sexmansbågen 5","","","",14,24.9447682689237,60.2568807091704,46,4873.5,1397.5,49,4353,1207
428,"379","Paloheinän kirjasto","Svedängens bibliotek","Paloheinän kirjasto","Paloheinäntie 22","Svedängsvägen 22","","","",18,24.9416682057603,60.2495097085073,34,4372,1148,42,3836,1085
429,"377","Paloheinän maja","Svedängens stuga","Paloheinän maja","Pakilantie 124","Baggbölevägen 124","","","",20,24.9183008944604,60.2552356088463,60,3393.5,1090.5,65,3659,1101
430,"378","Paloheinäntie","Svedängsvägen","Paloheinäntie","Pakilantie 91","Baggbölevägen 91","","","",16,24.9238580658345,60.2469918098113,81,3712,1127,104,3258,1108
431,"380","Pirkkolan liikuntapuisto","Britas idrottspark","Pirkkolan liikuntapuisto","Pirkkolan metsätie 6","Britas skogsväg 6","","","",14,24.9097508532821,60.232734803775,0,0,0,0,0,0
432,"381","Maununneva","Magnuskärr","Maununneva","Kaarelantie 14","Kårbölevägen 14","","","",14,24.8989998259643,60.2444085812279,0,0,0,0,0,0
433,"307","Ulappasilta","Fjärdbron","Ulappasilta","Ulappasilta 1","Fjärdbron 1","","","",18,25.1410458716813,60.2066160428581,291,1130,419,286,1025.5,383
434,"382","Hakuninmaa","Håkansåker","Hakuninmaa","Perhekunnantie 8","Husfolksvägen 8","","","",16,24.8970699007855,60.252967146995,0,0,0,0,0,0
435,"383","Kuninkaantammi","Kungseken","Kuninkaantammi","Kuninkaantammenkierto 22","Kungseksringen 22","","","",20,24.892757395895,60.259256054776,0,0,0,0,0,0
436,"384","Kalannintie","Kalantivägen","Kalannintie","Kalanninpolku","Kalantistigen","","","",14,24.8841075429141,60.2528066323977,0,0,0,0,0,0
437,"386","Kannelmäen liikuntapuisto","Gamlas idrottspark","Kannelmäen liikuntapuisto","Kanneltie 12","Kantelevägen 12","","","",16,24.8788004950615,60.2437463425961,0,0,0,0,0,0
438,"385","Pajupillintie","Videlåtsvägen","Pajupillintie","Vanhaistentie 3","Gamlasvägen 3","","","",16,24.8861026255016,60.2432353029777,0,0,0,0,0,0
439,"387","Kauppakeskus Kaari","Köpcentrum Kaari","Shopping Center Kaari","Kantelettarentie 1","Kanteletarvägen 1","","","",16,24.8894796721591,60.2363305501839,0,0,0,0,0,0
440,"388","Kaustisentie","Kaustbyvägen","Kaustisentie","Pelimannintie","Spelmansvägen","","","",16,24.8814517125501,60.2378065223104,0,0,0,0,0,0
441,"389","Kannelmäen asema","Gamlas järnvägsstation","Kannelmäki railway station","Sitratori 2","Cittertorg 2","","","",20,24.8766472489767,60.2393459909658,0,0,0,0,0,0
442,"371","Savela","Lerstrand","Savela","Ratavallintie 6","Banvallsvägen 6","","","",14,24.9913872585832,60.2404948542171,0,0,0,0,0,0
443,"390","Trumpettikuja","Trumpetgränden","Trumpettikuja","Trumpettitie 3","Trumpetvägen 3","","","",16,24.869109999497,60.2391561100934,0,0,0,0,0,0
444,"392","Viljelijäntie","Odlarvägen","Viljelijäntie","Viljelijäntie 5","Odlarvägen 5","","","",16,24.8572979635334,60.2432334444678,0,0,0,0,0,0
445,"393","Malminkartanon asema","Malmgård järnvägsstation","Malminkartano railway station","Luutnantinaukio","Löjtnantsplatsen","","","",20,24.8631156423813,60.2478178576762,0,0,0,0,0,0
446,"394","Tuohipolku","Näverstigen","Tuohipolku","Tuohipolku 1","Näverstigen 1","","","",12,24.8574322593556,60.2515646859168,0,0,0,0,0,0
447,"395","Honkasuo","Hongasmossa","Honkasuo","Naapuripellontie 27","Naboängsvägen 27","","","",16,24.8465809743929,60.255557476007,0,0,0,0,0,0
448,"396","Malminkartanonhuippu","Malmgårdstoppen","Malminkartano Hill","Naapuripellontie 7","Naboängsvägen 7","","","",12,24.8486486878388,60.2504077926351,0,0,0,0,0,0
449,"397","Hankasuontie","Hankmossvägen","Hankasuontie","Malminkartanontie 2","Malmgårdsvägen","","","",16,24.8475860266275,60.2447437736882,0,0,0,0,0,0
450,"398","Ajomiehentie","Körkarlsvägen","Ajomiehentie","Ajomiehentie 1","Körkarlsvägen 1","","","",20,24.8512905063639,60.2388821009165,1,11192,2520,1,9762,2278
451,"399","Vähäntuvantie","Lillstuvägen","Vähäntuvantie","Kylväjäntie 12","Såningsmansvägen 12","","","",14,24.846165047021,60.2324510345281,0,0,0,1,790,1398
452,"400","Kuusisaari","Granö","Kuusisaari","Kuusisaarenpolku 1","Granöstigen 1","","","",16,24.8567965996401,60.1845083389847,0,0,0,0,0,0
453,"401","Koivusaari (M)","Björkholmens metrostation","Koivusaari metro station","Sotkatie 11","Dykandsvägen 11","","","",16,24.8551642686834,60.1633863116225,2,3201,876.5,7,2958,1051
454,"402","Bermudankuja","Bermudagränden","Välimerenkatu","Atlantinkatu 10","Atlantgatan 10","","","",16,24.9101421129463,60.1549042600429,0,0,0,4,2651,734.5
455,"403","Verkkosaari","Nätholmen","Verkkosaari","Tukkutorinkuja 3","Partitorgsgränden","","","",20,24.9775480765957,60.1895561753156,2,2413.5,684.5,2,4040,1149.5
456,"404","Sompasaari","Sumparn","Sompasaari","Sompasaarenlaituri 2","Sumparkajen 2","","","",14,24.9760758238593,60.1829308185667,4,1463.5,525,8,731.5,274
457,"405","Jollas","Jollas","Jollas","Jollaksentie 33","Jollasvägen 33","","","",16,25.0616678668253,60.1644074899774,125,4086,1184,163,3608,1059
