googleID,kieli,nimi
1,Swedish,Livet efter döden
1,Finnish,Elämää kuoleman jälkeen
2,English,Emma.
2,Finnish,Emma
2,Swedish,Emma
2,German,Emma
3,English,Bombshell
3,Finnish,Bombshell – hiljaisuuden rikkojat
3,Swedish,Bombshell - När tystnaden bryts
3,German,Bombshell – Das Ende des Schweigens
4,English,Birds of Prey
4,Finnish,Birds of Prey
4,Swedish,Birds of Prey
4,German,Birds of Prey: The Emancipation of Harley Quinn
5,English,A Hidden Life
5,Finnish,A Hidden Life
5,Swedish,A Hidden Life
5,German,Ein verborgenes Leben
6,English,La Belle Époque
6,Finnish,La belle époque – elämämme kaunein aika
6,Swedish,La belle époque
6,German,Die schönste Zeit unseres Lebens
7,English,Weathering with You
7,Finnish,Weathering with You
7,Swedish,Weathering with You
7,German,"Weathering with You – Das Mädchen, das die Sonne berührte"
8,English,One Half of Me
8,Finnish,Aika jonka sain
9,English,Mr. Jones
9,Finnish,Mr. Jones
9,Swedish,Mr. Jones
9,German,Mr. Jones
10,English,The Cave
10,Finnish,The Cave
10,German,Klinik im Untergrund – The Cave